rank,team,country,score
2277,Smarty Pants,India,165441
2278,WLOG Winners,United Kingdom,165434
2279,ATA Capital,United Kingdom,165409
2280,_______________,India,165391
2281,Probably Overfitting,Hong Kong,165361
2282,Prosperous Traders,India,165338
2283,Binence,France,165335
2284,Soul Power,United States,165279
2285,Kalligaridis,Greece,165242
2286,Taara,India,165219
2287,Death Cross,India,165203
2288,steady,United States,165191
2289,RhoChi,United States,165183
2290,000000000000000000000,Australia,165182
2291,Chui,United States,165160
2292,Cassiopeia Crew,Switzerland,165144
2293,Naser Alsayegh,Bahrain,165138
2294,Shriharsh Shetye,India,165096
2295,Supa Strikas,India,165083
2296,ReadMyProf_com,United States,165071
2297,The Burrowers,United Kingdom,165070
2298,AAAAlgo,Netherlands,165016
2299,SHC Quants,Australia,164982
2300,Cardiff Maths,United Kingdom,164930
2301,BabluDiloBor,India,164734
2302,JRR,United States,164716
2303,Nebula,Germany,164684
2304,Iron-56,Italy,164676
2305,waveshiggle,Australia,164644
2306,lowkeylowkeylowkey,United States,164609
2307,52 Sigma,Mexico,164573
2308,Los Osos,Germany,164523
2309,Lazy Captain,India,164477
2310,Algolymp_top,Romania,164458
2311,Venus_Ki_Prosperity,India,164414
2312,Victory Lane,United States,164388
2313,Opportunity,United States,164372
2314,The Martingale,India,164343
2315,luck_lack,India,164281
2316,Rainbow,Australia,164249
2317,WolfOfPaulStreet,Ireland,164208
2318,Greeting,Canada,164203
2319,London_Trading,United States,164198
2320,properlyprosperous,Australia,164184
2321,Rocky Hard,United States,164081
2322,NOVA QUANT,United States,164075
2323,DegenLayer,India,164057
2324,lululand,United States,164049
2325,porkchop,United States,164048
2326,Space Pirate,United States,164019
2327,iambad,Hong Kong,163977
2328,Signal Seekers,India,163953
2329,Zurich AI Lab,Switzerland,163936
2330,Houston We Have No PNL,France,163911
2331,Cache me if you can,India,163910
2332,Hehexd,United States,163888
2333,quantmaxxing,Australia,163829
2334,Illini,United States,163827
2335,NATS,United Kingdom,163812
2336,Phi Phi,United States,163774
2337,Kenno,Australia,163759
2338,Bandeja,Ireland,163693
2339,JSR,United States,163654
2340,-----,Australia,163647
2341,Orange Juice Enjoyers,United States,163619
2342,The Chemo Dreamo,United States,163569
2343,Rush Hour,United Kingdom,163532
2344,Arrakis,India,163520
2345,Swish,Germany,163496
2346,pluto profit club,India,163442
2347,Singular Boiler Baddie,United States,163437
2348,BankOrBust,Australia,163405
2349,QuTie,United States,163336
2350,SimpleStrategy,Australia,163332
2351,Trial009,New Zealand,163270
2352,Goldman Stanley Quant,Hong Kong,163241
2353,Rebalancers,United States,163226
2354,Alpha-centric06,India,163225
2355,lingling,Singapore,163182
2356,BuyLowSellHigh3,United Kingdom,163162
2357,WeLoveWomen1,United States,163139
2358,Monogoat,Switzerland,163125
2359,MAMASHENGDE,United Kingdom,163052
2360,FaaahDuds,India,163042
2361,Dark Liquidity,United States,162993
2362,Ad Alpha,France,162974
2363,MuDSLovers,Romania,162930
2364,LHDCCD,Hong Kong,162901
2365,ML MM MB,Ireland,162870
2366,Theo Hunters,Germany,162800
2367,CHICKENBOY10,United States,162790
2368,Alpha42,France,162768
2369,professional ppt makers,Hungary,162757
2370,Im_starvin,France,162750
2371,Decoherence,India,162732
2372,PnLCapital,France,162520
2373,Monte Carlo of the East,United Kingdom,162476
2374,Future_Sight,United States,162374
2375,freakbob,United States,162374
2376,AMP,India,162348
2377,Prosperity Poppelsdorf,Germany,162341
2378,OTM2ITM,India,162193
2379,The Finance Frontier,United Kingdom,162190
2380,DataAlgo,United States,162144
2381,TheShuffleBoardPros,Switzerland,162136
2382,Early PNL Makers,France,162128
2383,VOT,Singapore,162035
2384,Pearl Market,United States,162018
2385,Apex Capital,United Kingdom,161993
2386,Delta Dynamics,Denmark,161934
2387,Baker Street,Switzerland,161902
2388,ABC - Brown,Palestine,161880
2389,The Golden Bears,United States,161836
2390,Waystar Royco,Singapore,161832
2391,gurbers,Australia,161808
2392,Southwest Wind,Italy,161796
2393,Deimos Dimsum Delivery,Australia,161663
2394,larp larp larp sahur,Australia,161640
2395,Confidential bois,India,161631
2396,DartGoblin,India,161587
2397,JemmyJemmy,United States,161569
2398,ggs,United States,161548
2399,Asterisk,United States,161526
2400,Huangpu River Trading,United Kingdom,161481
2401,Victors,India,161429
2402,KVASS,Netherlands,161385
2403,PCC,France,161331
2404,hmmmm,United Kingdom,161325
2405,Liquidity,Canada,161316
2406,WeshaLOre,France,161311
2407,The Frogs,Canada,161264
2408,DostKiYaadNaiAyiJassi,India,161252
2409,Quant Titans,Australia,161241
2410,Pardalote,Australia,161144
2411,Not saints make pots,Poland,161136
2412,Diamond,United Kingdom,161134
2413,KopiCoders,Singapore,161132
2414,no,Australia,161121
2415,Magalhaes Mission,Portugal,161092
2416,itdepends,Vietnam,161080
2417,The Greeks Are Broken,United States,161070
2418,just_me,India,161054
2419,Earth,United States,161022
2420,SteuerOptimierer,Germany,160991
2421,Main_Kampf,India,160943
2422,NoobTrading,India,160924
2423,CyberCapybara,Turkey,160905
2424,Alpha Sieve,Australia,160880
2425,six eyes,India,160847
2426,lanceball,United States,160811
2427,Meo,Singapore,160761
2428,Interstellar Assets,France,160687
2429,octavian,Romania,160583
2430,sorry wilson,Australia,160527
2431,KCQuant,United States,160290
2432,Dark Side of the Chart,India,160282
2433,TraderWoes,United States,160185
2434,Polaris,Spain,160043
2435,Team one,United States,160031
2436,Arsenal10,India,159933
2437,crine,United Kingdom,159913
2438,KineticTraders,India,159868
2439,Isabelle,Australia,159782
2440,StevieSteveSteve,United Kingdom,159713
2441,AdAstra,United States,159694
2442,Trademark,Sweden,159685
2443,Data Driven,United States,159678
2444,tungtung,United States,159674
2445,Wind,Switzerland,159558
2446,Equilibrium Traders,United Kingdom,159546
2447,Euclid Knights,Australia,159542
2448,LunaForeva,France,159518
2449,PyTrader,India,159472
2450,SOLO LEVELLING,Hong Kong,159449
2451,Scrappy Explorers,India,159402
2452,Faded Traders,United Kingdom,159385
2453,Beard of Boltzmann,United States,159371
2454,ImC_GuUnErs2JaneSt,United Kingdom,159340
2455,lnwza,Hong Kong,159325
2456,Here for the experience,New Zealand,159256
2457,Locus,India,159236
2458,GoodGod,India,159127
2459,Gajar_Ka_Halwa,India,159115
2460,Delft Rules,Netherlands,159059
2461,Hussman,United Kingdom,158972
2462,Essentials,India,158969
2463,Wonderful Worlds,Switzerland,158933
2464,HKU Traders,Hong Kong,158907
2465,EDI_Hires,Ireland,158842
2466,Renaissance-Who,India,158809
2467,Integra,Germany,158791
2468,Close Enough,India,158746
2469,Nicole s Nickel Jar,Hong Kong,158737
2470,PSPSPS,India,158587
2471,Theia,United States,158481
2472,Schroedingers Alpha,Germany,158447
2473,09,India,158385
2474,Purple Alpha,United States,158304
2475,Epicrew,France,158296
2476,Prosperity Dealers,India,158293
2477,Nancy Pelosi,Australia,158278
2478,Rrohil,United States,158262
2479,API Avengers,India,158247
2480,Flip,United States,158210
2481,TEAM SOLANA,India,158179
2482,TradeHive,India,158152
2483,Knistiks,Netherlands,158139
2484,lxyz,United States,158097
2485,Capital Crew,India,158085
2486,godspeed17776,India,158053
2487,ZeroLatency,United States,158036
2488,Prime Traders,Australia,158011
2489,Project_Hail_Claude,Hong Kong,157995
2490,garbitrage,Australia,157993
2491,AJK,India,157906
2492,QuantNova,India,157871
2493,walmart fpga,United States,157859
2494,Voyager 1,United Kingdom,157769
2495,G34 Capital,Ireland,157745
2496,Meow Meow -_-,Canada,157733
2497,Heehee,India,157642
2498,Nemisis,India,157640
2499,LTCM98,Netherlands,157635
2500,Aero1,India,157628
2501,Alpha Centaurs,Canada,157614
2502,Faaaah,India,157562
2503,Columbia Lions,United States,157548
2504,RooRoo,United States,157504
2505,SeaEmperor,Singapore,157361
2506,goatedfc,United States,157328
2507,LittleSaintJamesIsland,Singapore,157271
2508,rav,United States,157270
2509,Naxia,China,157267
2510,TakeTheMoneyAndRun,Germany,157257
2511,Southampton Stags,United Kingdom,157234
2512,Redwood,United States,157210
2513,AbandonedRookie,India,157116
2514,Alien Guava Juice,Canada,157105
2515,FullFatFingers,India,157086
2516,FC Trade,United States,157079
2517,Michelsen,Hong Kong,157069
2518,Busy Beavers,United States,156965
2519,Palaiseau Paladins,France,156956
2520,Blobers,United States,156896
2521,Rakia SMG,Bulgaria,156894
2522,Flakys,Australia,156882
2523,RockStocks,China,156824
2524,WuDiJi,Netherlands,156805
2525,mcmarketmakers,United Kingdom,156787
2526,Stefan Boulevard,Moldova,156769
2527,arbitrator06,United States,156768
2528,TeamTry,Mexico,156736
2529,Gryffindor House,United States,156554
2530,Laudare,Canada,156553
2531,Amnesia,India,156436
2532,Victory,India,156392
2533,RoaringLions,United Kingdom,156389
2534,Void Amongus,United States,156328
2535,Akane,United States,156254
2536,Parashurama,India,156249
2537,Team_0148,Italy,156185
2538,AlphaExtract,India,156134
2539,RDX,India,156106
2540,Plateau de Saclay,France,156059
2541,cosmonaut2,Switzerland,156059
2542,Wolf Of Ojuelegba,United Kingdom,156007
2543,Agrotragers,United Kingdom,155958
2544,Lunar Sooners,United States,155866
2545,The Blade,United States,155709
2546,Hello Kitty,Vietnam,155696
2547,ConquestX,United Kingdom,155651
2548,NoMoney,Singapore,155467
2549,zero gravity labs,Australia,155324
2550,Optimum,India,155227
2551,Snack Overflow,New Zealand,155223
2552,To First Order,Australia,155188
2553,Just Here To Have Fun,United States,155168
2554,ProfitMaxxers,Germany,155145
2555,QuantCommando,Netherlands,155122
2556,Nebula Capital,India,155028
2557,BathBomb,United Kingdom,155008
2558,Latent Alpha,Hong Kong,154975
2559,Team Boring,United States,154971
2560,Asdf,Australia,154946
2561,Lightning_Mavericks,India,154849
2562,Bearbadoobee,Singapore,154834
2563,ctrl0x63,Australia,154819
2564,BigBrains,India,154813
2565,Bart Technologies,France,154688
2566,fu-apes,China,154645
2567,Vibecoding Pod,Italy,154621
2568,SkyLab,United Kingdom,154576
2569,The Bagholders,United States,154542
2570,Neo,India,154451
2571,Leveraged to the Moon,New Zealand,154433
2572,CloudCityTraders,Poland,154342
2573,MarketInTheMaking,United Kingdom,154265
2574,CptMediocre,Singapore,154169
2575,Riskyteam,France,154112
2576,SemeyTeam,Kazakhstan,154065
2577,GototheMOON,Netherlands,154012
2578,Team NUMATIX,India,154010
2579,trade123,India,153994
2580,hi5,India,153934
2581,Elite Gamblers,India,153879
2582,Brownian in motion,Spain,153837
2583,Team Infinity,India,153787
2584,Sewage Storm,United Kingdom,153773
2585,Strategix,India,153761
2586,Epic Furry,United States,153707
2587,Low_Cortisol,India,153691
2588,Charles AKinnurun,Nigeria,153642
2589,GalacticaTraders,India,153630
2590,Sigma Surge,United States,153625
2591,Man On The Moon,United States,153425
2592,Quantified,United Kingdom,153384
2593,LossMakers,India,153355
2594,ringsofsaturn,United States,153333
2595,TheDivineMind,India,153320
2596,Rising Devs,India,153295
2597,QTKing,Australia,153275
2598,Dinos,Switzerland,153235
2599,Jarvis - vm,India,153232
2600,Team Name Pending,United Kingdom,153137
2601,Applied Intelligence,Poland,153123
2602,Graewatch,United Kingdom,153119
2603,Alpine Vertex,Switzerland,153091
2604,TradeFish,Canada,153033
2605,FullRank,United Kingdom,152989
2606,alpha miner,China,152826
2607,Luna,Australia,152795
2608,Nexo,India,152785
2609,Bggohey,United Kingdom,152718
2610,DTU_Quant_Lab,Denmark,152585
2611,PorkyQuants67,Australia,152571
2612,Hyperprism,France,152412
2613,Alexass,India,152395
2614,Zhai,Hong Kong,152356
2615,Money Hackers,India,152354
2616,CodeNameElephant,United States,152307
2617,Gng,India,152262
2618,QuantNinja,India,152220
2619,CAPT,Singapore,152123
2620,getitdone,Australia,152105
2621,CFC_COYB,United Kingdom,152092
2622,You Eye You See,United States,152063
2623,south_pole_bear,Australia,152041
2624,Mahagathbandhan,India,152037
2625,Black Swan Alpha,United States,151960
2626,Spock,United Kingdom,151958
2627,LinkedIn Warriors,Australia,151956
2628,Suboptimal but Steady,Poland,151901
2629,Artemis II,United Kingdom,151891
2630,IceCreamnPie,Australia,151879
2631,polkadot jerseys,Netherlands,151741
2632,The Tesseract,United States,151729
2633,DroGaGON,India,151670
2634,Revengers,India,151665
2635,FreeSolo,United States,151626
2636,Miracle Sort,Switzerland,151550
2637,Enthpic,Azerbaijan,151461
2638,Citadel108,India,151436
2639,Alice,France,151358
2640,Patmos,Greece,151320
2641,vrao27,United States,151302
2642,guguqiu,China,151273
2643,quinn,United States,151262
2644,Wonderhoy,United States,151232
2645,Starbitrage,Australia,151169
2646,garchlovers,United Kingdom,151142
2647,Tri Alphas,United States,151122
2648,Fantastic Fengshui,Thailand,150949
2649,Frogs,Mexico,150892
2650,Beat_Me_If_You_Can,India,150856
2651,Hyperion,India,150854
2652,Sagehens47,United States,150755
2653,Ved Street,United States,150718
2654,PanYueYing,Taiwan,150693
2655,Hactivators,India,150666
2656,mega mannetjes,Netherlands,150663
2657,goon1527,United States,150594
2658,Hong,United States,150576
2659,Peaky Blinders,India,150432
2660,WaitImGoated,United States,150324
2661,Tribes,Philippines,150323
2662,The Invisible Hand,United Kingdom,150290
2663,tax haven,New Zealand,150275
2664,Alpha Rays,United Kingdom,150257
2665,Almost Profitable,India,150199
2666,Kont,India,150158
2667,The Adrian Initiative,India,150104
2668,CyTech-Essca-AlbertS,France,150091
2669,lucas,United States,150016
2670,yy mb we 15,Netherlands,149879
2671,Desperate_situations,India,149871
2672,Quanting,Germany,149863
2673,One Hundred One,Italy,149776
2674,psk,United States,149731
2675,Rising Tide,India,149706
2676,money_nice,India,149686
2677,destined,India,149609
2678,AlphaHunters1,United States,149593
2679,TradeMog,United Kingdom,149507
2680,Margin_Call,United States,149489
2681,NOVA QUANT CLUB,Portugal,149473
2682,Prometheus_unburnt,India,149444
2683,Pickaxe,Tunisia,149396
2684,Zextros,India,149340
2685,Concurrent Modification,United Kingdom,149326
2686,jeanjean,France,149315
2687,Barely getting by,United Kingdom,149237
2688,its_prajil,India,149098
2689,SoloLeveler,India,149097
2690,Grrrrr,Australia,149086
2691,one HOT enCODER,United States,149078
2692,MK-Trading,Canada,149074
2693,ThengaChutney,India,149020
2694,first_timers,India,148969
2695,Forever Young,China,148957
2696,tradeX01,India,148954
2697,Dimitri Bianco Fan Club,New Zealand,148939
2698,TORRE,Spain,148690
2699,waffa,United States,148674
2700,Hakuna Matata,India,148601
2701,LLKS2710,India,148571
2702,profit maker,India,148522
2703,Chaos Alpha,India,148491
2704,Mangust Carleseen,Hong Kong,148490
2705,Phantasmagoriacs,United States,148457
2706,Here it goes,India,148387
2707,team-NPC,United States,148385
2708,Dynamo,India,148372
2709,Capybara Capytal,Hong Kong,148329
2710,cougars,United States,148295
2711,FTX Capital,France,148185
2712,SUNTOM,United States,148175
2713,Factor6Trading,United States,148172
2714,Solo Star,India,148144
2715,The Wall,United States,147999
2716,Austyn,India,147969
2717,Moleg HKU 28,Indonesia,147932
2718,unemployment final boss,United States,147929
2719,Kmalek,Iran,147800
2720,Overfit and Underpaid,Australia,147767
2721,Prosperity 5,India,147756
2722,BG,United Kingdom,147742
2723,IE University,Spain,147734
2724,valkyries,United States,147617
2725,camel_case - ineligible,Netherlands,147571
2726,Westbrick,United States,147506
2727,WATOAC,India,147487
2728,We Byte,India,147476
2729,Vex,India,147287
2730,Vivenry-Ricarter,United States,147258
2731,yardy,United States,147248
2732,Evimeria3,France,147204
2733,Eigen,Switzerland,147181
2734,Jesus Loves You,Nigeria,147180
2735,Sharp,Germany,147140
2736,Bottled Air,Australia,147134
2737,Leviathan-alpha,China,147124
